GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE229964,200229964,15,Extreme structural heterogeneity rewires glioblastoma chromosomes to sustain pat,2024/03/19,Other,0.0,"Glioblastoma multiforme encompasses a range of brain malignancies marked by phenotypic and transcriptional heterogeneity, which is thought to render t",E2,非表达谱技术(非表达谱),-,G275_CTCF
GSE244666,200244666,15,Dose dependent transcriptional response to ionizing radiation is orchestrated wi,2024/01/29,Expression profiling by high throughput sequencing,0.0,Radiation therapy is commonly used to treat glioblastoma multiforme (GBM) brain tumor. Ionizing radiation (IR) induces dose- specific variations in tr,B,非目标瘤种/类型(细胞系/处理实验=15),细胞系/处理实验=15,"U251, 6Gy II, 6h"
GSE217346,200217346,15,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,93.3,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",E2,非表达谱技术(非Expression类型;ChIP/结合),正常/非肿瘤组织=1,"U3009, cells, GBM (HiChIP)"
GSE166979,200166979,15,RNA-seq analysis of ASCL1-induced neuronal differentiation in WT and MED25 knock,2023/06/01,Expression profiling by high throughput sequencing,0.0,Glioblastoma stem cells were infected with lentivirus expressing a control (gRNA-AAVS1) or MED25 targeting gRNA to assess the role of MED25 in the ste,B,非目标瘤种/类型(细胞系/处理实验=15),细胞系/处理实验=15,gRNA-AAVS1-plusDOX-rep3
GSE189781,200189781,15,"Glioblastoma stem cells after treatment with HLM006474, S3I-201 or their combina",2022/01/15,Expression profiling by high throughput sequencing,0.0,"Malignant gliomas, including glioblastoma (GBM), are uniformly lethal with inferior prognosis and lack of effective treatment. Although the H2AZ2 vari",B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,TS543_STAT3i_2
GSE108862,200108862,15,Next Generation Sequencing Analysis of Human Glioblastoma Transcriptomes And Qua,2020/09/10,Expression profiling by high throughput sequencing,0.0,We report the high-throughput profiling of thirteen human glioblastoma and four pairs of panned(pdgfra+) and supernatant(pdgfra-) human glioma cells. ,A?,摘要含瘤种词(样本标题无特征),-,No84-panned
GSE93991,200093991,15,The transition from proliferation to quiescence in glioblastoma stem-like cells ,2018/05/31,Expression profiling by high throughput sequencing,0.0,Quiescence is a reversible cell-cycle arrest used by Cancer Stem Cells (CSCs) to evade killing following conventional therapies. Quiescent CSCs are th,A?,摘要含瘤种词(样本标题无特征),-,JHHS2_S2
GSE99171,200099171,15,Selectively targeting bromodomain and extraterminal proteins for degradation as ,2018/05/15,Genome binding/occupancy profiling by high throughput sequen,0.0,Purpose: Characterization of mechanism and vulnerability of BET protein dependency in GBM cells.  Methods: ChIP-seq and RNA-seq were performed on GBM ,E2,非表达谱技术(非Expression类型;ChIP/结合),细胞系/处理实验=15,U87_BRD2_dBET6_500nM_2h
GSE205224,200205224,15,H3K27me3 spreading organizes canonical PRC1 chromatin architecture to regulate d,2026/03/09,Other,0.0,Polycomb Repressive Complex 2 (PRC2) deposits H3K27me3 to recruit canonical PRC1 (cPRC1) that establishes repressive heterochromatin. Higher order cPR,E2,非表达谱技术(非表达谱),正常/非肿瘤组织=2,"HSJ019, KO"
GSE227983,200227983,15,Immune and tumor cell landscape in pediatric high grade gliomas,2025/02/17,Expression profiling by high throughput sequencing,0.0,"Single cell RNA-seq profiling of tumor, myeloid, and T cells from fresh pediatric high grade glioma samples",D,样本标题/摘要无特征词,-,H3WT_hemi_P5_R2
