GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE260997,200260997,2458,Mutant IDH inhibitors induce lineage differentiation in IDH-mutant Oligodendrogl,2024/05/01,Expression profiling by high throughput sequencing,0.0,"A subset of patients with IDH-mutant glioma respond to inhibitors of mutant IDH (IDHi), yet the molecular underpinnings of such responses are not unde",D,样本标题/摘要无特征词,-,"BWH20-P3-G10, Smart-seq2"
GSE168004,200168004,1595,Cancer - immune cell interactions drive transitions to mesenchymal-like states i,2021/04/23,Expression profiling by high throughput sequencing,0.0,"To understand the diversity of expression states in model systems of Glioblastomas, we profiled 949 single cells from 13 mice at different timepoints ",A?,摘要含瘤种词(样本标题无特征),-,GBM11_batch_352
GSE57872,200057872,875,Single cell RNA-seq of primary human glioblastomas,2014/06/12,Expression profiling by high throughput sequencing,0.0,We report transcriptomes from 430 single glioblastoma cells isolated from 5 individual tumors and 102 single cells from gliomasphere cells lines gener,C,单细胞/空间数据,-,Single cell mRNA-seq_MGH26_H12
GSE156902,200156902,804,Tumor-educated platelet RNA for the detection and (pseudo)progression monitoring,2020/10/22,Expression profiling by high throughput sequencing,29.9,"We report RNA-sequencing data of 805 blood platelet samples, including 240 tumor-educated platelet (TEP) samples collected from patients with glioblas",B,非目标瘤种/类型(液体活检/血液=804),液体活检/血液=804,Blood_Platelets_HC0385 [VUMC-HC-0385-TR2640]
GSE100351,200100351,579,The DNA methylation landscape of glioblastoma disease progression shows extensiv,2018/06/20,Methylation profiling by high throughput sequencing; Express,94.5,"Glioblastoma is characterized by widespread genetic and transcriptional heterogeneity, yet little is known about the role of the epigenome in glioblas",A,瘤种词样本94%,-,RRBS Glioblastoma patient pat_178 Surg.1 FFPE
GSE293560,200293560,402,Illumina Infinium MethylationEPIC data for Glioma,2025/04/04,Methylation profiling by genome tiling array,0.0,Methylation profiling by Illumina Infinium MethylationEPIC microarray of glioma subjects,E2,非表达谱技术(非表达谱;甲基化),-,206537470103_R03C01 Methylation
GSE119776,200119776,384,CHROMATIN LANDSCAPES REVEAL DEVELOPMENTALLY ENCODED TRANSCRIPTIONAL STATES THAT ,2019/03/18,Genome binding/occupancy profiling by high throughput sequen,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=171),细胞系/处理实验=171,GSC12
GSE121723,200121723,364,Glioblastoma epigenome profiling identifies SOX10 as a master regulator of molec,2018/11/05,Genome binding/occupancy profiling by high throughput sequen,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=28),细胞系/处理实验=28,AK217 [tumor methylation microarray]
GSE167806,200167806,298,ChIP-seq and RNA-seq data for Glioma,2022/09/22,Expression profiling by high throughput sequencing; Genome b,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,sample 3269 K4me1
GSE68086,200068086,285,"RNA-seq of tumor-educated platelets enables blood-based pan-cancer, multiclass a",2015/10/30,Expression profiling by high throughput sequencing,0.0,"We report RNA-sequencing data of 283 blood platelet samples, including 228 tumor-educated platelet (TEP) samples collected from patients with six diff",B,非目标瘤种/类型(液体活检/血液=285),液体活检/血液=285; 其他癌种=39,Blood_Platelets_CRC-459
GSE107559,200107559,270,Ivy Glioblastoma Atlas Project (RNA-Seq),2017/12/01,Expression profiling by high throughput sequencing,0.0,"The Ivy Glioblastoma Atlas Project (Ivy GAP) is a detailed anatomically based transcriptomic atlas of human glioblastoma tumors.  As collaborators, th",B,非目标瘤种/类型(其他癌种=148),其他癌种=148,CSCC_CTpnz-PI3_W22-1-1-H.03
GSE200146,200200146,249,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],2023/07/07,Expression profiling by high throughput sequencing,0.0,Decreased antigen presentation contributes to the ability of cancer cells to evade the immune system. We used the minimal gene regulatory network of t,B,非目标瘤种/类型(细胞系/处理实验=249),细胞系/处理实验=249,888-MEL d9 CD45+HLA-DR+ rep4
GSE318645,200318645,226,Dual Immune Checkpoint Blockade Induces Distinct Systemic and Intratumoral Immun,2026/07/21,Expression profiling by high throughput sequencing,0.0,"We conducted a surgical window-of-opportunity trial (NCT04606316) in 63 patients with relapsed, resectable glioblastoma. Participants received either ",B,非目标瘤种/类型(液体活检/血液=179),液体活检/血液=179,"Patient 052,Baseline, PBMC, RNAseq"
GSE270126,200270126,219,Divergent medulloblastoma chromatin states disclose KDM2B as a selective depende,2026/06/22,Other; Expression profiling by high throughput sequencing,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=32),细胞系/处理实验=32,D283_Day7_control_rep2
GSE264730,200264730,203,Mutant IDH1 inhibition induces dsDNA sensing to activate tumor immunity,2024/04/28,Expression profiling by high throughput sequencing; Methylat,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=108),细胞系/处理实验=108,"RNA-seq, polyA RNA, 2205 in vivo, sgCgas, 6-d"
GSE290468,200290468,169,STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Ima,2025/06/23,Other; Expression profiling by high throughput sequencing,0.0,This SuperSeries is composed of the SubSeries listed below.  PhenoCycler (protein) data is available at https://stjude.app.box.com/s/fg5e5r43heipjh6lc,D,样本标题/摘要无特征词,-,STAMP_82
GSE246931,200246931,164,Specific cPRC1 complexes are co-opted to mediate oncogenic gene repression in di,2025/05/28,Expression profiling by high throughput sequencing; Genome b,0.0,Diffuse midline glioma (DMG) is a fatal childhood brain tumour characterised primarily by mutant histone H3 (H3K27M). H3K27M causes a global reduction,B,非目标瘤种/类型(细胞系/处理实验=152),细胞系/处理实验=152,KO-MEL18-Rep1
GSE186599,200186599,160,TULIPs decorate the three-dimensional genome of PFA ependymoma,2024/07/05,Other; Genome binding/occupancy profiling by high throughput,0.0,"Hi-C and RNA-seq for a large cohort of pediatric brain tumors including ependymoma (PFA, PFB, Ste, spinal), medulloblastoma (G3, G4, SHH), high grade ",E2,非表达谱技术(非Expression类型;ChIP/结合),-,in-situ Hi-C library BT2018110
GSE217349,200217349,159,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,87.4,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",A,瘤种词样本87%,正常/非肿瘤组织=10; 细胞系/处理实验=35,"U3031, cells, GBM (H3K27Ac.ChIPseq)"
GSE290923,200290923,156,"CPI203, a BET inhibitor, down-regulates a consistent set of DNA synthesis genes ",2025/03/06,Expression profiling by high throughput sequencing,100.0,Introduction: Glioblastomas utilize malignant gene expression pathways to drive growth.  Many of these gene pathways are not directly accessible with ,A,瘤种词样本100%,-,RA-11 GBM G83 RNA-seq GSK591
GSE272042,200272042,153,Transcriptomics of FFPE-derived primary brain tumours,2025/01/15,Expression profiling by high throughput sequencing,0.0,Primary brain cancers are highly heterogeneous and include the most prevalent and aggressive glioblastomas. To understand the key factors underlying b,A?,摘要含瘤种词(样本标题无特征),-,Sample 12
GSE154043,200154043,143,A Molecular Signature associated with prolonged survival in Glioblastoma patient,2020/12/31,Expression profiling by high throughput sequencing; Non-codi,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,"Lomustine, 142_05 (miRNA-seq)"
GSE222398,200222398,134,Patch-seq of human patient-derived diffuse midline glioma xenografts,2023/03/01,Expression profiling by high throughput sequencing,0.0,Treatment-resistance of lethal high-grade brain tumors including H3K27M diffuse midline gliomas is thought to arise in part from transcriptional and e,D,样本标题/摘要无特征词,-,X65.1
GSE228100,200228100,124,LOGGIC Core BioClinical Data Bank: Added clinical value of RNA-Seq in an interna,2023/11/15,Methylation profiling by genome tiling array,0.0,We compared gene panel sequencing and DNA methylation analysis with RNA sequencing results from 125 patients. We could demonstrate improvement of diag,E2,非表达谱技术(非表达谱;甲基化),其他癌种=124,CNS-tumor_pediatric-LGG_10826
GSE228512,200228512,116,Extracellular vesicle-based cancer panels diagnose glioblastomas with high sensi,2023/08/21,Expression profiling by high throughput sequencing,0.0,This study focused on the development of serum extracellular vesicle (EV)-based glioblastoma tumor marker panels that can be used in the clinic to dia,A?,摘要含瘤种词(样本标题无特征),-,preop_P69
GSE147780,200147780,114,H3K27M in Gliomas Causes a One-step Decrease in H3K27 Methylation and Reduced Sp,2020/11/17,Genome binding/occupancy profiling by high throughput sequen,0.0,The discovery of H3K27M mutations in pediatric gliomas marked a new chapter in cancer epigenetics. Numerous studies have investigated the effect of th,E2,非表达谱技术(非Expression类型;ChIP/结合),细胞系/处理实验=8,BT245-KO2_Input
GSE174554,200174554,113,A single cell atlas of human glioma under therapy,2022/07/05,Expression profiling by high throughput sequencing; Other,74.3,"Most clinical trials for glioblastoma (GBM) enroll patients at recurrence. However, most pre-clinical animal models are of primary disease. Most studi",C,单细胞/空间数据,-,SF6621_spatial_proteomics
GSE72951,200072951,112,Identification of recurrent GBM patients that may benefit from Bevacizumab and C,2016/01/19,Expression profiling by array,0.0,The results from the randomized phase II BELOB trial provided evidence for a potential benefit of bevacizumab (beva; a humanized monoclonal antibody a,A?,摘要含瘤种词(样本标题无特征),-,B147_1022329.125 [Sample 46]
GSE260452,200260452,111,Single-cell multidimensional profiling of tumor cell heterogeneity in supratento,2025/12/09,Expression profiling by high throughput sequencing; Other,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,STEPN-51_Region_4
GSE188625,200188625,110,Multi-omic analysis of cell-of-origin and epigenomic state in pediatric H3K27M g,2022/06/27,Expression profiling by high throughput sequencing; Genome b,0.0,It is not known whether midline pediatric gliomas driven by Histone 3 K27M mutations (oncohistones) or EZHIP expression (oncohistone-mimics) share a c,D,样本标题/摘要无特征词,-,DIPGXIII-ko-c5p32-H3-1WT-p6-Rx_Input
GSE255626,200255626,109,Next generation sequencing from primary glioblastoma patient tissues (Total RNA-,2026/01/21,Expression profiling by high throughput sequencing,100.0,"To investigate transcriptome landscape in primary GBM, we performed total RNA-seq using 72 tumor tissues from 52 patients with primary GBM.",A,瘤种词样本100%,正常/非肿瘤组织=6,primary GBM patient 90
GSE205245,200205245,105,H3K27me3 spreading organizes canonical PRC1 chromatin architecture to regulate d,2026/03/09,Genome binding/occupancy profiling by high throughput sequen,0.0,Polycomb Repressive Complex 2 (PRC2) deposits H3K27me3 to recruit canonical PRC1 (cPRC1) that establishes repressive heterochromatin. Higher order cPR,E2,非表达谱技术(非Expression类型;ChIP/结合),正常/非肿瘤组织=23,"DIPGXIII, K27M, CTCF"
GSE276176,200276176,101,Divergence from the human astrocyte developmental trajectory in glioblastoma [bu,2024/10/31,Expression profiling by high throughput sequencing,0.0,Glioblastoma (GBM) is defined by heterogenous and resilient cell populations that closely reflect neurodevelopmental cell types. While it is clear tha,B,非目标瘤种/类型(细胞系/处理实验=30),细胞系/处理实验=30,"Bulk RNA-seq, line C4.1, Doxycycline control"
GSE173278,200173278,99,Single-cell landscapes of primary glioblastomas and matched organoids and cell l,2022/02/16,Expression profiling by high throughput sequencing,0.0,Glioblastomas (GBMs) are aggressive primary malignant brain tumors characterized by extensive levels of inter- and intra-tumor genetic and phenotypic ,C,单细胞/空间数据,-,JK152_reg2_btic_1 [scRNA-seq]
GSE119834,200119834,98,CHROMATIN LANDSCAPES REVEAL DEVELOPMENTALLY ENCODED TRANSCRIPTIONAL STATES THAT ,2019/03/18,Expression profiling by high throughput sequencing,0.0,Glioblastoma is an incurable brain cancer characterized by high genetic and pathological heterogeneity. Here we mapped active chromatin landscapes wit,B,非目标瘤种/类型(细胞系/处理实验=44),细胞系/处理实验=44,GBM53 [RNA-Seq]
GSE162976,200162976,94,Epigenomic Landscape and 3D Genome Structure in Pediatric High-Grade Glioma,2021/06/03,Expression profiling by high throughput sequencing; Genome b,0.0,"Pediatric high-grade gliomas (pHGGs), including glioblastoma multiforme (GBM) and diffuse intrinsic pontine glioma (DIPG), are highly morbid childhood",B,非目标瘤种/类型(细胞系/处理实验=33),其他癌种=14; 细胞系/处理实验=33,SF9427-H3K27AC Rep 1
GSE290466,200290466,92,STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Ima,2025/06/23,Other,0.0,"Single-cell RNA sequencing (scRNA-seq) has revolutionized our understanding of cellular diversity, but remains constrained by scalability, high costs,",E2,非表达谱技术(非表达谱),-,STAMP_28
GSE59612,200059612,92,MRI-localized biopsies reveal subtype-specific differences in molecular and cell,2014/07/22,Expression profiling by high throughput sequencing,0.0,We obtained radiographically-localized biopsies during glioma resection surgeries to sample the tumor core and margins from multiple glioma patients. ,D,样本标题/摘要无特征词,-,PC53
GSE145644,200145644,88,Enhancer profiling of glioblastoma uncovers core oncogenic dependency and therap,2021/05/05,Genome binding/occupancy profiling by high throughput sequen,0.0,"Here, by mapping H3K27ac deposition, we analyze the active regulatory landscapes across primary GBM biopsies, normal brain tissues, and cell line coun",E2,非表达谱技术(非Expression类型;ChIP/结合),-,GBM17_H3K27ac
GSE72468,200072468,87,EGFR Mutation Promotes Glioblastoma Through Epigenome and Transcription Factor N,2015/09/14,Expression profiling by high throughput sequencing; Genome b,0.0,"Epidermal Growth Factor Receptor (EGFR) gene amplification and mutations are the most common oncogenic events in Glioblastoma (GBM), but the mechanism",B,非目标瘤种/类型(细胞系/处理实验=46),细胞系/处理实验=46,ChIPseq_U87_withFBS_H3K4me3.FL072
GSE141945,200141945,85,RNA-seq of Glioblastoma Tumors and GBOs,2019/12/26,Expression profiling by high throughput sequencing,0.0,Analysis of glioblastoma tissue and corresponding glioblastoma organoids by RNA sequencing.,A?,摘要含瘤种词(样本标题无特征),-,7788ANT_4wk
GSE165595,200165595,82,Genome-wide perturbations of Alu expression and Alu-associated post-transcriptio,2021/01/27,Expression profiling by high throughput sequencing,0.0,Alu is a primate-specific repeat element in the human genome and has been increasingly appreciated as a regulatory element in many biological processe,D,样本标题/摘要无特征词,-,N32
GSE296212,200296212,80,LINE-1 locus transcription nucleates oncogenic chromatin architecture [RNA-Seq],2025/12/17,Expression profiling by high throughput sequencing,0.0,"Retrotransposons are a prolific class of genomic parasites frequently upregulated in human cancers, where their spontaneous mobility can generate inse",D,样本标题/摘要无特征词,-,T47D_SCR_ASO_RNA_rep3
GSE222515,200222515,80,EGFR pathway expression persists in recurrent glioblastoma independent of amplif,2023/01/25,Expression profiling by high throughput sequencing,100.0,Background: Glioblastoma mortality is driven by tumour progression or recurrence despite administering a therapeutic arsenal consisting of surgical re,A,瘤种词样本100%,-,"GBM, Recurrent, Patient 14"
GSE79338,200079338,75,The Glioma-Infiltrating T Cell Receptor Repertoire,2016/05/18,Expression profiling by high throughput sequencing; Other,0.0,"While immune signaling has emerged as a defining feature of the glioma microenvironment, local selection of responding T cells and their anti-tumor po",D,样本标题/摘要无特征词,-,TCR67A.BC2
GSE223607,200223607,74,Hypoxic tumors are sensitive to FLASH radiotherapy,2024/01/24,Expression profiling by high throughput sequencing,0.0,"Purpose: Tumor hypoxia is a major cause of treatment resistance, especially to radiation therapy at conventional dose rate (CONV), and we wanted to as",A?,摘要含瘤种词(样本标题无特征),-,"Tumor, CONV-RT physioxia, late, biol rep 3"
GSE167805,200167805,74,RNA-seq data for Glioma,2022/09/22,Expression profiling by high throughput sequencing,0.0,"We profiled glioma samples to determine the RNA expression patterns relative to different molecular markers, as well as different germline alterations",D,样本标题/摘要无特征词,-,sample 3105 count
GSE242992,200242992,72,Transcriptomic and epigenetic dissection of spinal ependymomas (SP-EPN) identifi,2024/01/26,Expression profiling by high throughput sequencing,0.0,"Background: Ependymomas encompass multiple, clinically relevant tumor types based on localization and molecular profiles. Although tumors of the methy",D,样本标题/摘要无特征词,-,RNA_S4142Nr15
GSE154041,200154041,71,A Molecular Signature associated with prolonged survival in Glioblastoma patient,2020/12/31,Expression profiling by high throughput sequencing,0.0,Background: Patients with glioblastoma (GBM) have a dramatically poor prognosis. The recent REGOMA trial suggested an overall survival benefit of rego,A?,摘要含瘤种词(样本标题无特征),-,"Regorafenib, 136_22 (RNA-seq)"
GSE163044,200163044,70,Regional identity of human neural stem cells determines oncogenic responses to h,2021/03/24,Expression profiling by high throughput sequencing,8.6,Point mutations within the histone H3.3 are frequent in aggressive childhood brain tumours known as paediatric high-grade gliomas (pHGGs). Intriguingl,B,非目标瘤种/类型(细胞系/处理实验=47),正常/非肿瘤组织=17; 细胞系/处理实验=47,Peadiatric glioblastoma cell G34R KO rep1
GSE156619,200156619,69,Epigenetic Landscape of Pediatric Ependymoma Recurrence,2022/07/12,Expression profiling by high throughput sequencing; Methylat,0.0,"Pediatric ependymoma has relatively low frequencies of DNA mutations, which suggest that epigenetics may drive tumors. However, the epigenetic mechani",D,样本标题/摘要无特征词,-,RNA-seq_PFA2-R1
GSE154958,200154958,64,Comparative analysis of glioblastoma initiating cells and patient-matched EPSC-d,2021/09/17,Expression profiling by high throughput sequencing,0.0,"Malignant gliomas are the most common intrinsic brain tumours in adults and are associated with a very poor prognosis, which has not improved in the l",B,非目标瘤种/类型(正常/非肿瘤组织=6),正常/非肿瘤组织=6,GBM031_P4 [205149]
GSE121720,200121720,64,Glioblastoma epigenome profiling identifies SOX10 as a master regulator of molec,2018/11/05,Expression profiling by high throughput sequencing,0.0,"Glioblastomas in adult patients are classified into four subtypes, IDH, MES, RTK I, and RTK II, based on DNA-methylation and RNA-expression data. Tumo",A?,摘要含瘤种词(样本标题无特征),-,AK085 [tumor RNA-seq]
GSE271059,200271059,64,Spatial immune profiling defines a subset of human gliomas with functional terti,2025/10/02,Expression profiling by high throughput sequencing,0.0,"Adult-type diffuse gliomas, the most common primary brain tumors, respond poorly to immune-based therapies and are considered immunologically “cold” t",D,样本标题/摘要无特征词,-,PAT-357_P
GSE268776,200268776,64,Multi-omics approaches reveal that Diffuse Midline Gliomas are susceptible to re,2024/11/20,Expression profiling by high throughput sequencing,0.0,The fatal Diffuse Midline Gliomas (DMG) are characterized by an undruggable H3K27M mutation in H3.1 or H3.3. K27M impairs normal development by stalli,B,非目标瘤种/类型(细胞系/处理实验=64),细胞系/处理实验=64,"DIPG24 LS, rep2 (RNA-seq)"
GSE268775,200268775,64,Multi-omics approaches reveal that Diffuse Midline Gliomas are susceptible to re,2024/11/20,Other,0.0,The fatal Diffuse Midline Gliomas (DMG) are characterized by an undruggable H3K27M mutation in H3.1 or H3.3. K27M impairs normal development by stalli,E2,非表达谱技术(非表达谱),细胞系/处理实验=64,"DIPG21 S4, rep2 (Repli-seq)"
GSE237581,200237581,64,Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon ,2023/10/11,Expression profiling by high throughput sequencing,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,"Bulk RNA-seq PMBC, PostTx ATL-DC+Resiquimod 2"
GSE301112,200301112,63,STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Ima,2025/06/30,Other,0.0,"Single-cell RNA sequencing (scRNA-seq) has revolutionized our understanding of cellular diversity, but remains constrained by scalability, high costs,",E2,非表达谱技术(非表达谱),-,STAMP_125
GSE291954,200291954,60,Inflammatory transcriptomic signatures in a human cellular NMOSD model reveal up,2025/10/01,Expression profiling by high throughput sequencing,0.0,Neuromyelitis optica spectrum disorder (NMOSD) is a rare neurological autoimmune disease caused autoantibodies targeting the astrocytic water channel ,A?,摘要含瘤种词(样本标题无特征),-,S48_HA E5415A+AC biol rep 3
GSE209772,200209772,60,DNMT and HDAC inhibition induces immunogenic neoantigens from human endogenous r,2023/08/22,Expression profiling by high throughput sequencing,0.0,"To investigate the effect of Decitabine and SB939 treatment on the expression of endoretroviral elements. We treated 9 cell lines with DMSO, Decitabin",B,非目标瘤种/类型(细胞系/处理实验=33),细胞系/处理实验=33,"OCI-AML3 cells, DAC+SB939, biol rep 1"
GSE285552,200285552,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2026/05/14,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by Qi-related herbal medicines (QHM) and modes of action (MOA) of QHM in SW1783 cell line. ,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,QHM_SW1783_BatchD_ethanol extract of Saposhni
GSE285551,200285551,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2026/05/14,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by Qi-related herbal medicines (QHM) and modes of action (MOA) of QHM in SW1783 cell line. ,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,QHM_SW1783_BatchC_ethanol extract of Longan A
GSE285550,200285550,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2026/05/14,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by Qi-related herbal medicines (QHM) and modes of action (MOA) of QHM in SW1783 cell line. ,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,QHM_SW1783_BatchB_water extract of Saengmaek-
GSE285549,200285549,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2026/05/14,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by Qi-related herbal medicines (QHM) and modes of action (MOA) of QHM in SW1783 cell line. ,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,QHM_SW1783_BatchA_Vehicle(DMSO)_rep2
GSE254455,200254455,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2025/11/13,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by digestion-related herbal medicines (DHM) and modes of action (MOA) of DHM in SW1783 cell,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchD_ethanol extract of Bupleuri Radix (Low
GSE254452,200254452,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2025/11/13,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by digestion-related herbal medicines (DHM) and modes of action (MOA) of DHM in SW1783 cell,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchB_water extract of Banhasasim-tang (Medi
GSE254450,200254450,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2025/11/13,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by digestion-related herbal medicines (DHM) and modes of action (MOA) of DHM in SW1783 cell,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchA_water extract of Coptidis Rhizoma (Med
GSE245911,200245911,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2024/06/21,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by tonifying herbal medicines (THM) and modes of action (MOA) of THM in A549 cell line. For,B,非目标瘤种/类型(正常/非肿瘤组织=9),正常/非肿瘤组织=9; 细胞系/处理实验=3,BatchF_ethanol extract of Sagunja-tang (Low d
GSE245910,200245910,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2024/06/21,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by tonifying herbal medicines (THM) and modes of action (MOA) of THM in A549 cell line. For,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchE_ethanol extract of Glycyrrhizae Radix 
GSE245898,200245898,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2024/06/21,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by tonifying herbal medicines (THM) and modes of action (MOA) of THM in A549 cell line. For,B,非目标瘤种/类型(正常/非肿瘤组织=9),正常/非肿瘤组织=9; 细胞系/处理实验=3,BatchB_water extract of Sagunja-tang (Low dos
GSE245896,200245896,60,Digital transformation of herbal medicine: Conversion to biological entity data ,2024/06/21,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by tonifying herbal medicines (THM) and modes of action (MOA) of THM in A549 cell line. For,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchA_water extract of Angelicae Gigantis Ra
GSE266389,200266389,60,Suppressing Aberrant Hedgehog Pathway and Overcoming Resistance to Smoothened An,2024/05/16,Expression profiling by high throughput sequencing,0.0,Aberrant activation of Hedgehog (Hh) signaling pathway plays important roles in both oncogenesis and targeted therapy of many cancers. The clinical ap,B,非目标瘤种/类型(细胞系/处理实验=60),细胞系/处理实验=60,"SmoWT-MB intracranial xenograft, rep1"
GSE254453,200254453,59,Digital transformation of herbal medicine: Conversion to biological entity data ,2025/11/13,Expression profiling by high throughput sequencing,0.0,This study aimed to identify transcript expression induced by digestion-related herbal medicines (DHM) and modes of action (MOA) of DHM in SW1783 cell,B,非目标瘤种/类型(细胞系/处理实验=3),细胞系/处理实验=3,BatchC_ethanol extract of Scutellariae Radix 
GSE254461,200254461,57,Machine-learning model based on glycosyltransferase expression predicts multiple,2024/02/03,Expression profiling by high throughput sequencing,0.0,"Whereas current tools for diagnosing cancer focus on identifying markers in limited types of the disease, such as the PAM50 kit known primarily for su",B,非目标瘤种/类型(其他癌种=34),其他癌种=34,"Breast Cancer tissue, BRCA_T7"
GSE272261,200272261,57,GABAergic neuronal lineage development determines clinically actionable targets ,2024/08/01,Expression profiling by high throughput sequencing,0.0,"Diffuse hemispheric gliomas, H3G34R/V-mutant (DHG-H3G34), are uniformly lethal malignancies lacking targeted therapies. These gliomas uniquely origina",B,非目标瘤种/类型(细胞系/处理实验=33),细胞系/处理实验=33,BT690_shRNA1_CDK6_rep2
GSE211074,200211074,57,CHD2 Regulates Neuron-glioma Interactions in Pediatric Glioma,2024/05/09,Expression profiling by high throughput sequencing; Other,0.0,"High-grade gliomas (HGG) are deadly diseases for both adult and pediatric patients. Recently, it has been shown that neuronal activity promotes the pr",B,非目标瘤种/类型(其他癌种=57),其他癌种=57; 细胞系/处理实验=38,SU-DIPG-IV_WT_H3K27me3_rep2
GSE304029,200304029,56,BRD2 Bromodomain-Mediated Regulation of Cell State Plasticity Modulates Therapy ,2025/11/17,Expression profiling by high throughput sequencing,0.0,"Background: Glioblastoma (GBM) displays remarkable cell state plasticity, a major contributor to therapeutic resistance and tumor progression. While e",B,非目标瘤种/类型(细胞系/处理实验=48),细胞系/处理实验=48,"GSC23 cells, BRD2_BD2_2"
GSE262089,200262089,56,Three-dimensional regulatory hubs support oncogenic programs in glioblastoma,2025/03/04,Expression profiling by high throughput sequencing; Genome b,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=45),细胞系/处理实验=45,GSC 810- replicate1
GSE183194,200183194,56,circRNA and mRNA transcriptome of Human Daoy and HEPM cells in the context of He,2021/10/13,Expression profiling by high throughput sequencing; Non-codi,0.0,"Circular RNAs have largely emerged as novel regulators of human biology, including brain function and cancer development. On the other hand, the Hedge",B,非目标瘤种/类型(细胞系/处理实验=16),细胞系/处理实验=16,HEPM_11_m: mRNA-SAG-3
GSE300150,200300150,55,Single-cell multidimensional profiling of tumor cell heterogeneity in supratento,2025/12/09,Expression profiling by high throughput sequencing,0.0,"Supratentorial ependymomas (ST-EPNs) are aggressive and treatment-resistant pediatric brain tumors that form along the human cortex, with suspected or",B,非目标瘤种/类型(非人类模型=3),非人类模型=3,STEPN-30 (SMART-Seq2)
GSE239854,200239854,55,Single nuclei RNA-seq profiles from medulloblastoma tumors with extensive nodula,2023/10/26,Expression profiling by high throughput sequencing; Methylat,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,135714_INTER
GSE225491,200225491,54,Cooperativity between H3-K27M and PDGFRA poses multiple therapeutic vulnerabilit,2026/03/01,Expression profiling by high throughput sequencing,0.0,PDGFRA and H3.3 mutations cooperate in an iPSC-based model of diffuse midline glioma to alter tumor biology.,D,样本标题/摘要无特征词,-,A_42
