GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE100351,200100351,579,The DNA methylation landscape of glioblastoma disease progression shows extensiv,2018/06/20,Methylation profiling by high throughput sequencing; Express,94.5,"Glioblastoma is characterized by widespread genetic and transcriptional heterogeneity, yet little is known about the role of the epigenome in glioblas",A,瘤种词样本94%,-,RRBS Glioblastoma patient pat_178 Surg.1 FFPE
GSE217349,200217349,159,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,87.4,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",A,瘤种词样本87%,正常/非肿瘤组织=10; 细胞系/处理实验=35,"U3031, cells, GBM (H3K27Ac.ChIPseq)"
GSE290923,200290923,156,"CPI203, a BET inhibitor, down-regulates a consistent set of DNA synthesis genes ",2025/03/06,Expression profiling by high throughput sequencing,100.0,Introduction: Glioblastomas utilize malignant gene expression pathways to drive growth.  Many of these gene pathways are not directly accessible with ,A,瘤种词样本100%,-,RA-11 GBM G83 RNA-seq GSK591
GSE255626,200255626,109,Next generation sequencing from primary glioblastoma patient tissues (Total RNA-,2026/01/21,Expression profiling by high throughput sequencing,100.0,"To investigate transcriptome landscape in primary GBM, we performed total RNA-seq using 72 tumor tissues from 52 patients with primary GBM.",A,瘤种词样本100%,正常/非肿瘤组织=6,primary GBM patient 90
GSE222515,200222515,80,EGFR pathway expression persists in recurrent glioblastoma independent of amplif,2023/01/25,Expression profiling by high throughput sequencing,100.0,Background: Glioblastoma mortality is driven by tumour progression or recurrence despite administering a therapeutic arsenal consisting of surgical re,A,瘤种词样本100%,-,"GBM, Recurrent, Patient 14"
GSE145645,200145645,35,Enhancer profiling of glioblastoma uncovers core oncogenic dependency and therap,2021/05/05,Expression profiling by high throughput sequencing,91.4,"Here, by mapping H3K27ac deposition, we analyze the active regulatory landscapes across primary GBM biopsies, normal brain tissues, and cell line coun",A,瘤种词样本91%,正常/非肿瘤组织=3,Primary GBM SuR10
GSE211554,200211554,12,RNA sequencing of tumor tissues from 12 glioblastoma patients,2022/09/01,Expression profiling by high throughput sequencing,100.0,We performed RNA sequencing on tumor samples from 12 glioblastoma patients to compare differences in gene expression between tumors,A,瘤种词样本100%,-,glioblastoma tissue 12t
GSE207727,200207727,12,P300-mediated adaptive conversion of glioma stem cells to vascular-like cells in,2022/09/09,Expression profiling by high throughput sequencing,100.0,Purpose: The goal of the study is to determine the global transcriptomic changes occuring post-radiation in cultured patient-derived gliomaspheres,A,瘤种词样本100%,-,"408, GBM, 8Gy, Day7-1"
